Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,CountryCode,CountryName,Population,DeathsPop,CasesPop
Dominican Republic,5926,0,273.0,0.0,822.0,4831,136.0,546.0,25.0,21284.0,1962.0,DOM,Dominican Republic,10627165.0,2,55
Hungary,2500,+57,272.0,10.0,485.0,1743,61.0,259.0,28.0,63505.0,6574.0,HUN,Hungary,9768785.0,2,25
Pakistan,12723,0,269.0,0.0,2866.0,9588,111.0,58.0,1.0,144365.0,654.0,PAK,Pakistan,212215030.0,<1,5
S. Korea,10728,+10,242.0,2.0,8717.0,1769,55.0,209.0,5.0,598285.0,11669.0,KOR,South Korea,51635256.0,<1,20
Colombia,5142,0,233.0,0.0,1067.0,3842,117.0,101.0,5.0,78078.0,1534.0,COL,Colombia,49648685.0,<1,10
Czechia,7352,0,219.0,1.0,2471.0,4662,79.0,687.0,20.0,215116.0,20087.0,CZE,Czechia,10625695.0,2,69
Ukraine,8617,+492,209.0,8.0,840.0,7568,107.0,197.0,5.0,89373.0,2044.0,UKR,Ukraine,44622516.0,<1,19
Norway,7499,+6,201.0,0.0,32.0,7266,50.0,1383.0,37.0,155125.0,28614.0,NOR,Norway,5314336.0,3,141
Israel,15398,+100,199.0,0.0,6602.0,8597,132.0,1779.0,23.0,302691.0,34971.0,ISR,Israel,8883800.0,2,173
Finland,4576,+101,190.0,4.0,2500.0,1886,62.0,826.0,34.0,80300.0,14493.0,FIN,Finland,5518050.0,3,82
Argentina,3780,0,185.0,0.0,1030.0,2565,144.0,84.0,4.0,47406.0,1049.0,ARG,Argentina,44494502.0,<1,8
Chile,12858,0,181.0,0.0,6746.0,5931,418.0,673.0,9.0,149212.0,7806.0,CHL,Chile,18729160.0,<1,68
Morocco,4047,+150,160.0,1.0,557.0,3330,1.0,110.0,4.0,26472.0,717.0,MAR,Morocco,36029138.0,<1,11
Panama,5538,+200,159.0,5.0,338.0,5041,85.0,1283.0,37.0,25400.0,5887.0,PAN,Panama,4176873.0,3,132
Serbia,7779,0,151.0,0.0,1152.0,6476,91.0,890.0,17.0,59938.0,6860.0,SRB,Serbia,6982084.0,2,111
Bangladesh,5416,+418,145.0,5.0,122.0,5149,1.0,33.0,0.9,46589.0,283.0,BGD,Bangladesh,161356039.0,<1,3
Saudi Arabia,16299,0,136.0,0.0,2215.0,13948,115.0,468.0,4.0,200000.0,5745.0,SAU,Saudi Arabia,33699947.0,<1,48
Greece,2506,0,130.0,0.0,577.0,1799,47.0,240.0,12.0,63087.0,6053.0,GRC,Greece,10727668.0,1,23
Malaysia,5780,+38,98.0,0.0,3862.0,1820,36.0,179.0,3.0,131491.0,4063.0,MYS,Malaysia,31528585.0,<1,18
Moldova,3304,0,94.0,0.0,825.0,2385,212.0,819.0,23.0,11763.0,2916.0,MDA,Moldova,3545883.0,2,93
South Africa,4361,0,86.0,0.0,1473.0,2802,36.0,74.0,1.0,161004.0,2715.0,ZAF,South Africa,57779622.0,<1,7
Iraq,1763,0,86.0,0.0,1224.0,453,0.0,44.0,2.0,68224.0,1696.0,IRQ,Iraq,38433600.0,<1,4
Luxembourg,3711,0,85.0,0.0,3088.0,538,26.0,5928.0,136.0,38514.0,61526.0,LUX,Luxembourg,607728.0,13,610
Australia,6711,+16,83.0,3.0,5539.0,1089,42.0,263.0,3.0,506449.0,19861.0,AUS,Australia,24992369.0,<1,26
Slovenia,1396,+8,82.0,1.0,221.0,1093,23.0,671.0,39.0,48973.0,23557.0,SVN,Slovenia,2067372.0,3,67
UAE,10349,+536,76.0,5.0,1978.0,8295,1.0,1046.0,8.0,1022326.0,103365.0,ARE,United Arab Emirates,9630959.0,<1,107
Belarus,10463,+873,72.0,5.0,1695.0,8696,92.0,1107.0,8.0,147525.0,15612.0,BLR,Belarus,9485386.0,<1,110
North Macedonia,1386,+19,61.0,2.0,500.0,825,13.0,665.0,29.0,15120.0,7257.0,MKD,Macedonia,2082958.0,2,66
Honduras,627,+36,59.0,4.0,65.0,503,10.0,63.0,6.0,3457.0,349.0,HND,Honduras,9587522.0,<1,6
Bosnia and Herzegovina,1516,+30,59.0,2.0,624.0,833,4.0,462.0,18.0,25830.0,7873.0,BIH,Bosnia and Herzegovina,3323929.0,1,45
Bulgaria,1290,+43,55.0,0.0,205.0,1030,37.0,186.0,8.0,27000.0,3886.0,BGR,Bulgaria,7024216.0,<1,18
Croatia,2016,0,54.0,0.0,1034.0,928,21.0,491.0,13.0,30913.0,7530.0,HRV,Croatia,4089400.0,1,49
Cameroon,1518,0,53.0,0.0,697.0,768,28.0,57.0,2.0,0.0,0.0,CMR,Cameroon,25216237.0,<1,6
Thailand,2922,+15,51.0,0.0,2594.0,277,61.0,42.0,0.7,142589.0,2043.0,THA,Thailand,69428524.0,<1,4
